 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

      12000          2.50          0.29          1.52          0.06          0.13
      13000          2.98          0.45          2.17          0.08          0.14
      13999          3.50          0.66          2.97          0.09          0.14
      15000          4.06          0.93          3.93          0.10          0.14
      16000          4.68          1.29          5.07          0.12          0.14
      17000          5.35          1.73          6.42          0.13          0.14
      18000          6.06          2.29          8.00          0.15          0.14
      19000          6.84          2.97          9.85          0.16          0.15
      20000          7.66          3.81         12.02          0.18          0.15
      21000          8.55          4.85         14.55          0.20          0.15
      22000          9.50          6.20         17.76          0.22          0.15
      23000         10.56          8.11         22.23          0.25          0.15
      24000         11.85         12.48         32.76          0.34          0.16
      29000         16.28         14.07         30.57          0.22          0.15


                       8x6SF.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.08          0.00          0.06          0.09          0.16
       3000          0.18          0.01          0.13          0.09          0.16
       4000          0.33          0.02          0.25          0.09          0.16
       5000          0.52          0.03          0.38          0.09          0.16
       6000          0.74          0.05          0.53          0.09          0.16
       7000          1.01          0.08          0.71          0.09          0.16
       8000          1.31          0.11          0.90          0.08          0.16
       9000          1.66          0.16          1.12          0.08          0.16
      10000          2.07          0.26          1.63          0.10          0.16
      11000          2.55          0.42          2.39          0.12          0.16
      12000          3.08          0.63          3.32          0.14          0.16
      13000          3.66          0.91          4.43          0.16          0.17
      13999          4.29          1.28          5.76          0.18          0.17
      15000          4.98          1.74          7.30          0.20          0.17
      16000          5.74          2.32          9.15          0.22          0.17


                       8x7.dat                    

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.06          0.11
       2000          0.06          0.00          0.04          0.06          0.11
       3000          0.13          0.00          0.09          0.06          0.11
       4000          0.23          0.01          0.16          0.06          0.11
       5000          0.36          0.02          0.25          0.06          0.11
       6000          0.52          0.03          0.36          0.06          0.11
       7000          0.71          0.05          0.49          0.06          0.11
       8000          0.93          0.08          0.64          0.06          0.11
       9000          1.18          0.11          0.79          0.06          0.11
      10000          1.45          0.15          0.94          0.06          0.11
      11000          1.75          0.19          1.10          0.05          0.11
      12000          2.09          0.24          1.28          0.05          0.11
      13000          2.45          0.30          1.46          0.05          0.11
      13999          2.86          0.42          1.90          0.06          0.11
      15000          3.33          0.68          2.85          0.08          0.11
      16000          3.84          1.02          4.01          0.09          0.12
      17000          4.40          1.46          5.42          0.11          0.12
      18000          5.00          2.02          7.06          0.13          0.12
      19000          5.65          2.72          9.02          0.15          0.12
      20000          6.35          3.59         11.32          0.17          0.12
      21000          7.10          4.66         13.99          0.19          0.12
      22000          7.91          6.05         17.32          0.22          0.13
      23000          8.80          7.94         21.75          0.25          0.13
      24000          9.99         12.58         33.03          0.35          0.13
      25000         11.40         19.11         48.17          0.46          0.14


                       8x73.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.01          0.00          0.01          0.06          0.10
       2000          0.06          0.00          0.04          0.06          0.10
       3000          0.12          0.00          0.09          0.06          0.10
       4000          0.22          0.01          0.16          0.06          0.10
       5000          0.34          0.02          0.25          0.06          0.10
       6000          0.49          0.04          0.36          0.06          0.10
       7000          0.67          0.06          0.50          0.06          0.10
       8000          0.88          0.08          0.65          0.06          0.10
       9000          1.11          0.12          0.82          0.06          0.10
      10000          1.37          0.16          0.98          0.06          0.10
      11000          1.65          0.20          1.15          0.06          0.10
      12000          1.96          0.25          1.33          0.06          0.10
      13000          2.30          0.31          1.51          0.05          0.10
      13999          2.66          0.38          1.70          0.05          0.10
      15000          3.05          0.45          1.89          0.05          0.10
      16000          3.52          0.74          2.92          0.07          0.11
      17000          4.05          1.16          4.31          0.09          0.11
      18000          4.61          1.71          5.98          0.11          0.11
      19000          5.23          2.40          7.97          0.13          0.11
      20000          5.89          3.29         10.36          0.16          0.11
      21000          6.61          4.43         13.30          0.18          0.11
      22000          7.42          6.18         17.69          0.22          0.12
      23000          8.40          9.43         25.83          0.29          0.12
      24000          9.32         11.68         30.68          0.32          0.12


                       8x8.dat                    

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.07          0.11
       2000          0.06          0.00          0.04          0.07          0.11
       3000          0.13          0.00          0.10          0.07          0.11
       4000          0.23          0.01          0.18          0.07          0.11
       5000          0.37          0.02          0.28          0.07          0.11
       6000          0.53          0.04          0.40          0.07          0.11
       7000          0.72          0.06          0.54          0.07          0.11
       8000          0.94          0.09          0.71          0.07          0.11
       9000          1.18          0.12          0.87          0.06          0.11
      10000          1.46          0.16          1.03          0.06          0.11
      11000          1.76          0.21          1.20          0.06          0.11
      12000          2.09          0.26          1.39          0.06          0.11
      13000          2.45          0.32          1.58          0.06          0.11
      13999          2.86          0.47          2.09          0.06          0.11
      15000          3.35          0.78          3.28          0.09          0.11
      16000          3.88          1.20          4.73          0.11          0.12
      17000          4.46          1.75          6.48          0.14          0.12
      18000          5.08          2.44          8.53          0.16          0.12
      19000          5.76          3.31         10.98          0.18          0.12
      20000          6.49          4.39         13.83          0.21          0.12
      21000          7.28          5.76         17.29          0.24          0.13
      22000          8.16          7.59         21.74          0.27          0.13
      23000          9.26         11.38         31.19          0.35          0.13
      24000         10.57         16.98         44.59          0.47          0.14


                       8x8E.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.08          0.14
       2000          0.07          0.00          0.05          0.08          0.14
       3000          0.16          0.01          0.12          0.08          0.14
       4000          0.28          0.01          0.22          0.08          0.14
       5000          0.44          0.03          0.34          0.08          0.14
       6000          0.63          0.05          0.49          0.08          0.14
       7000          0.86          0.07          0.67          0.08          0.14
       8000          1.12          0.11          0.84          0.08          0.13
       9000          1.42          0.15          1.02          0.08          0.13
      10000          1.75          0.19          1.22          0.07          0.13
      11000          2.11          0.25          1.43          0.07          0.13
      12000          2.52          0.33          1.73          0.07          0.13
      13000          3.02          0.58          2.80          0.10          0.14
      13999          3.58          0.91          4.11          0.13          0.14
      15000          4.19          1.36          5.70          0.15          0.14
      16000          4.86          1.93          7.59          0.18          0.15
      17000          5.58          2.65          9.84          0.20          0.15
      18000          6.37          3.56         12.47          0.23          0.15
      19000          7.23          4.70         15.58          0.26          0.15
      20000          8.15          6.08         19.17          0.29          0.16
      21000          9.15          7.79         23.38          0.32          0.16
      22000         10.23          9.94         28.49          0.35          0.16
      23000         11.45         13.00         35.62          0.41          0.17
      24000         13.17         20.67         54.27          0.57          0.18
      26000         15.01         23.24         56.35          0.50          0.17


                       8x9.dat                    

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.07          0.11
       2000          0.06          0.00          0.05          0.07          0.11
       3000          0.13          0.00          0.11          0.07          0.11
       4000          0.23          0.01          0.19          0.07          0.11
       5000          0.37          0.02          0.30          0.07          0.11
       6000          0.53          0.04          0.43          0.07          0.11
       7000          0.72          0.06          0.58          0.07          0.11
       8000          0.94          0.10          0.76          0.07          0.11
       9000          1.19          0.13          0.93          0.07          0.11
      10000          1.46          0.17          1.10          0.07          0.11
      11000          1.76          0.22          1.28          0.06          0.11
      12000          2.10          0.28          1.47          0.06          0.11
      13000          2.45          0.34          1.66          0.06          0.11
      13999          2.87          0.50          2.25          0.07          0.11
      15000          3.37          0.87          3.66          0.10          0.11
      16000          3.92          1.36          5.36          0.13          0.12
      17000          4.52          2.00          7.43          0.15          0.12
      18000          5.17          2.81          9.85          0.18          0.12
      19000          5.88          3.84         12.74          0.21          0.12
      20000          6.64          5.11         16.09          0.24          0.13
      21000          7.47          6.71         20.15          0.28          0.13
      22000          8.40          8.88         25.43          0.32          0.13
      23000          9.60         13.47         36.90          0.42          0.14
      25000         12.31         24.35         61.39          0.59          0.15


                       925x50.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.03          0.08
       2000          0.07          0.00          0.04          0.03          0.08
       3000          0.16          0.00          0.09          0.03          0.08
       4000          0.29          0.01          0.16          0.03          0.08
       5000          0.45          0.02          0.25          0.03          0.08
       6000          0.65          0.03          0.36          0.03          0.08
       7000          0.89          0.05          0.49          0.03          0.08
       8000          1.16          0.08          0.64          0.03          0.08
       9000          1.47          0.12          0.80          0.03          0.08
      10000          1.82          0.15          0.97          0.03          0.08
      11000          2.20          0.20          1.16          0.03          0.08
      12000          2.63          0.26          1.36          0.03          0.08
      13000          3.09          0.32          1.58          0.03          0.08
      13999          3.60          0.40          1.81          0.03          0.08
      15000          4.16          0.55          2.29          0.03          0.08
      16000          4.78          0.78          3.07          0.03          0.08
      17000          5.44          1.08          4.02          0.04          0.08
      18000          6.16          1.48          5.19          0.05          0.08
      19000          6.95          2.01          6.68          0.05          0.08
      20000          7.80          2.87          9.05          0.07          0.08
      21000          8.71          4.48         13.44          0.09          0.08
      22000          9.67          6.10         17.49          0.11          0.09
      23000         10.66          7.93         21.72          0.12          0.09


                       925x525.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.03          0.08
       2000          0.07          0.00          0.04          0.03          0.08
       3000          0.16          0.00          0.09          0.03          0.08
       4000          0.29          0.01          0.16          0.03          0.08
       5000          0.46          0.02          0.25          0.03          0.08
       6000          0.66          0.04          0.37          0.03          0.08
       7000          0.89          0.06          0.50          0.03          0.08
       8000          1.17          0.08          0.66          0.03          0.08
       9000          1.48          0.12          0.83          0.03          0.08
      10000          1.83          0.16          1.01          0.03          0.08
      11000          2.22          0.21          1.20          0.03          0.08
      12000          2.65          0.27          1.40          0.03          0.08
      13000          3.12          0.34          1.62          0.03          0.08
      13999          3.62          0.41          1.86          0.03          0.08
      15000          4.18          0.57          2.38          0.03          0.08
      16000          4.80          0.82          3.24          0.04          0.08
      17000          5.48          1.16          4.30          0.04          0.08
      18000          6.20          1.60          5.59          0.05          0.08
      19000          6.99          2.19          7.25          0.06          0.08
      20000          7.83          3.15          9.94          0.07          0.08
      21000          8.76          4.90         14.72          0.10          0.09
      22000          9.73          6.62         18.97          0.11          0.09
      23000         10.74          8.58         23.52          0.13          0.09
      24000         11.90         12.08         31.71          0.16          0.09
      25000         12.47          9.43         23.77          0.11          0.09


                       925x55.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.03          0.08
       2000          0.07          0.00          0.04          0.03          0.08
       3000          0.17          0.00          0.09          0.03          0.08
       4000          0.29          0.01          0.17          0.03          0.08
       5000          0.46          0.02          0.26          0.03          0.08
       6000          0.66          0.04          0.38          0.03          0.08
       7000          0.90          0.06          0.52          0.03          0.08
       8000          1.18          0.09          0.68          0.03          0.08
       9000          1.49          0.12          0.86          0.03          0.08
      10000          1.85          0.17          1.04          0.03          0.08
      11000          2.24          0.22          1.23          0.03          0.08
      12000          2.67          0.28          1.44          0.03          0.08
      13000          3.13          0.34          1.67          0.03          0.08
      13999          3.64          0.42          1.90          0.03          0.08
      15000          4.20          0.59          2.47          0.03          0.08
      16000          4.83          0.87          3.41          0.04          0.08
      17000          5.50          1.23          4.57          0.05          0.08
      18000          6.23          1.71          6.00          0.05          0.08
      19000          7.02          2.36          7.83          0.06          0.08
      20000          7.86          3.44         10.83          0.08          0.08
      21000          8.80          5.32         15.97          0.11          0.09
      22000          9.79          7.14         20.47          0.12          0.09
      23000         10.82          9.23         25.29          0.14          0.09
      24000         12.02         13.00         34.15          0.17          0.09
      25000         12.69         10.27         25.88          0.12          0.09


                       925x575.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.03          0.08
       2000          0.07          0.00          0.04          0.03          0.08
       3000          0.17          0.00          0.10          0.03          0.08
       4000          0.29          0.01          0.17          0.03          0.08
       5000          0.46          0.02          0.27          0.03          0.08
       6000          0.67          0.04          0.39          0.03          0.08
       7000          0.91          0.06          0.54          0.03          0.08
       8000          1.19          0.09          0.71          0.03          0.08
       9000          1.50          0.13          0.89          0.03          0.08
      10000          1.86          0.17          1.07          0.03          0.08
      11000          2.25          0.22          1.27          0.03          0.08
      12000          2.68          0.28          1.48          0.03          0.08
      13000          3.15          0.35          1.71          0.03          0.08
      13999          3.65          0.43          1.95          0.03          0.08
      15000          4.22          0.61          2.55          0.03          0.08
      16000          4.85          0.91          3.58          0.04          0.08
      17000          5.53          1.31          4.85          0.05          0.08
      18000          6.26          1.83          6.41          0.06          0.08
      19000          7.04          2.54          8.41          0.07          0.08
      20000          7.90          3.70         11.68          0.09          0.08
      21000          8.85          5.74         17.24          0.11          0.09
      22000          9.85          7.65         21.91          0.13          0.09
      23000         10.90          9.87         27.04          0.15          0.09
      24000         12.14         13.91         36.52          0.18          0.09


                       925x60.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.04          0.08
       2000          0.08          0.00          0.05          0.04          0.08
       3000          0.18          0.00          0.11          0.04          0.08
       4000          0.31          0.01          0.20          0.04          0.08
       5000          0.49          0.03          0.31          0.04          0.08
       6000          0.70          0.04          0.46          0.04          0.08
       7000          0.96          0.07          0.62          0.04          0.08
       8000          1.25          0.10          0.81          0.04          0.08
       9000          1.59          0.14          1.01          0.04          0.08
      10000          1.96          0.19          1.22          0.04          0.08
      11000          2.37          0.25          1.44          0.03          0.08
      12000          2.82          0.32          1.67          0.03          0.08
      13000          3.31          0.40          1.93          0.03          0.08
      13999          3.85          0.50          2.26          0.03          0.08
      15000          4.46          0.80          3.37          0.04          0.09
      16000          5.13          1.21          4.76          0.05          0.09
      17000          5.85          1.75          6.47          0.07          0.09
      18000          6.62          2.47          8.65          0.08          0.09
      19000          7.48          3.64         12.06          0.10          0.09
      20000          8.44          5.60         17.64          0.13          0.09
      21000          9.45          7.59         22.77          0.15          0.09
      23000         11.48         10.55         28.90          0.16          0.09
      24000         12.83         15.30         40.17          0.20          0.10


                       93x3.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.03          0.09
       2000          0.08          0.00          0.04          0.03          0.09
       3000          0.18          0.00          0.10          0.03          0.09
       4000          0.33          0.01          0.17          0.03          0.09
       5000          0.51          0.02          0.27          0.03          0.09
       6000          0.74          0.04          0.39          0.03          0.09
       7000          1.01          0.06          0.52          0.03          0.09
       8000          1.33          0.09          0.67          0.03          0.09
       9000          1.69          0.12          0.84          0.03          0.09
      10000          2.10          0.16          1.03          0.03          0.09
      11000          2.56          0.22          1.27          0.03          0.09
      12000          3.07          0.29          1.54          0.03          0.09
      13000          3.63          0.38          1.83          0.03          0.09
      13999          4.25          0.48          2.17          0.03          0.09
      15000          4.94          0.61          2.54          0.03          0.09
      16000          5.69          0.75          2.97          0.03          0.09
      17000          6.52          0.93          3.44          0.03          0.09
      18000          7.44          1.14          3.99          0.03          0.10
      19000          8.49          1.40          4.64          0.04          0.10
      20000          9.88          1.83          5.75          0.04          0.10
      21000         11.71          3.18          9.54          0.06          0.11
      22000         13.02          4.23         12.12          0.07          0.11
      23000         14.00          4.30         11.77          0.06          0.11
      24000         14.85          5.36         14.07          0.07          0.11
      25000         15.24          5.44         13.72          0.06          0.10


                       95x45.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.03          0.09
       2000          0.09          0.00          0.05          0.03          0.09
       3000          0.20          0.00          0.11          0.03          0.09
       4000          0.36          0.01          0.20          0.03          0.09
       5000          0.57          0.03          0.31          0.03          0.09
       6000          0.82          0.04          0.46          0.03          0.09
       7000          1.12          0.07          0.62          0.03          0.09
       8000          1.46          0.10          0.79          0.03          0.09
       9000          1.85          0.14          0.99          0.03          0.09
      10000          2.30          0.19          1.21          0.03          0.09
      11000          2.80          0.25          1.46          0.03          0.09
      12000          3.36          0.36          1.87          0.03          0.09
      13000          3.98          0.50          2.42          0.04          0.09
      13999          4.67          0.68          3.08          0.04          0.09
      15000          5.43          0.92          3.87          0.04          0.09
      16000          6.26          1.23          4.83          0.05          0.09
      17000          7.16          1.63          6.03          0.05          0.10
      18000          8.15          2.15          7.53          0.06          0.10
      19000          9.23          3.01          9.97          0.07          0.10
      20000         10.36          4.76         14.99          0.10          0.10
      21000         11.57          6.76         20.30          0.12          0.10
      22000         12.87          9.41         26.97          0.14          0.10
      23000         13.84          9.11         24.97          0.12          0.10
      24000         15.04         11.48         30.15          0.13          0.10
      25000         15.82          9.40         23.68          0.10          0.10


                       95x5MR.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       3000          0.28          0.01          0.18          0.05          0.12
       4000          0.50          0.02          0.32          0.05          0.12
       5000          0.78          0.04          0.50          0.05          0.12
       6000          1.13          0.07          0.71          0.05          0.12
       7000          1.53          0.10          0.95          0.05          0.12
       8000          2.01          0.16          1.22          0.05          0.12
       9000          2.55          0.22          1.53          0.05          0.12
      10000          3.17          0.33          2.07          0.05          0.12
      11000          3.87          0.48          2.75          0.06          0.12
      12000          4.65          0.68          3.56          0.06          0.12
      13000          5.51          0.94          4.53          0.07          0.13
      14000          6.46          1.27          5.71          0.07          0.13
      15000          7.49          1.70          7.12          0.08          0.13
      16000          8.60          2.23          8.80          0.09          0.13
      17000          9.82          2.94         10.91          0.10          0.13
      18000         11.13          3.85         13.49          0.11          0.13
      19000         12.43          4.56         15.14          0.11          0.13
      20000         13.85          6.01         18.94          0.12          0.13
      21000         15.36          8.22         24.68          0.14          0.13
      22000         16.59          7.20         20.64          0.11          0.13
      23000         17.98          8.09         22.17          0.11          0.13
      24000         19.19          7.19         18.88          0.08          0.13


                       95x6.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.05          0.11
       2000          0.12          0.00          0.08          0.05          0.11
       3000          0.27          0.01          0.18          0.05          0.11
       4000          0.47          0.02          0.32          0.05          0.11
       5000          0.74          0.04          0.51          0.05          0.11
       6000          1.07          0.07          0.71          0.05          0.11
       7000          1.45          0.10          0.95          0.05          0.11
       8000          1.89          0.15          1.21          0.05          0.11
       9000          2.40          0.23          1.58          0.05          0.11
      10000          3.00          0.37          2.36          0.06          0.12
      11000          3.67          0.58          3.34          0.07          0.12
      12000          4.41          0.87          4.55          0.08          0.12
      13000          5.23          1.25          6.06          0.09          0.12
      13999          6.13          1.76          7.90          0.10          0.12
      15000          7.10          2.41         10.15          0.12          0.12
      16000          8.17          3.28         12.92          0.13          0.12
      17000          9.32          4.41         16.33          0.14          0.12
      18000         10.47          5.47         19.16          0.15          0.12
      19000         11.68          7.07         23.46          0.17          0.12
      20000         12.99          9.13         28.77          0.18          0.13
      21000         14.10          8.61         25.83          0.15          0.12
      25000         19.08          8.28         20.89          0.09          0.12


                       95x65N.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.04          0.10
       2000          0.10          0.00          0.07          0.04          0.10
       3000          0.23          0.01          0.16          0.04          0.10
       4000          0.40          0.02          0.28          0.04          0.10
       5000          0.63          0.03          0.44          0.04          0.10
       6000          0.91          0.06          0.63          0.04          0.10
       7000          1.24          0.09          0.85          0.04          0.10
       8000          1.62          0.14          1.08          0.04          0.10
       9000          2.05          0.19          1.32          0.04          0.10
      10000          2.52          0.25          1.59          0.04          0.10
      11000          3.05          0.33          1.88          0.04          0.10
      12000          3.66          0.51          2.68          0.05          0.10
      13000          4.35          0.81          3.95          0.06          0.10
      13999          5.11          1.23          5.52          0.07          0.10
      15000          5.93          1.77          7.45          0.08          0.10
      16000          6.82          2.49          9.80          0.10          0.10
      17000          7.79          3.43         12.70          0.11          0.10
      18000          8.84          4.65         16.30          0.13          0.11
      19000          9.98          6.36         21.10          0.15          0.11
      20000         11.36         10.22         32.21          0.21          0.11
      21000         12.73         13.19         39.57          0.23          0.11


                       95x75N.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.05          0.10
       2000          0.10          0.00          0.08          0.05          0.10
       3000          0.23          0.01          0.17          0.05          0.10
       4000          0.40          0.02          0.30          0.05          0.10
       5000          0.63          0.04          0.47          0.05          0.10
       6000          0.91          0.06          0.68          0.05          0.10
       7000          1.24          0.10          0.92          0.05          0.10
       8000          1.61          0.15          1.15          0.05          0.10
       9000          2.04          0.20          1.41          0.04          0.10
      10000          2.52          0.27          1.68          0.04          0.10
      11000          3.04          0.34          1.97          0.04          0.10
      12000          3.66          0.57          2.98          0.05          0.10
      13000          4.36          0.96          4.64          0.07          0.10
      13999          5.14          1.49          6.70          0.09          0.10
      15000          5.99          2.20          9.24          0.10          0.10
      16000          6.91          3.14         12.36          0.12          0.10
      17000          7.92          4.36         16.18          0.14          0.11
      18000          9.02          5.97         20.91          0.16          0.11
      19000         10.27          8.64         28.67          0.20          0.11
      20000         11.79         13.83         43.58          0.28          0.11
      21000         13.32         18.11         54.36          0.31          0.12
      22000         14.39         17.23         49.35          0.26          0.11
      23000         16.51         27.01         74.01          0.36          0.12


                       95x7N.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.05          0.10
       2000          0.10          0.00          0.07          0.05          0.10
       3000          0.23          0.01          0.16          0.05          0.10
       4000          0.40          0.02          0.29          0.05          0.10
       5000          0.63          0.04          0.45          0.05          0.10
       6000          0.91          0.06          0.65          0.05          0.10
       7000          1.24          0.10          0.88          0.05          0.10
       8000          1.61          0.14          1.11          0.04          0.10
       9000          2.04          0.19          1.36          0.04          0.10
      10000          2.51          0.26          1.62          0.04          0.10
      11000          3.04          0.33          1.91          0.04          0.10
      12000          3.65          0.54          2.84          0.05          0.10
      13000          4.35          0.90          4.35          0.07          0.10
      13999          5.11          1.38          6.23          0.08          0.10
      15000          5.95          2.03          8.54          0.10          0.10
      16000          6.86          2.89         11.37          0.11          0.10
      17000          7.85          4.01         14.87          0.13          0.10
      18000          8.93          5.54         19.38          0.15          0.11
      19000         10.22          8.91         29.54          0.21          0.11
      21000         13.22         17.99         53.98          0.31          0.12
      22000         14.13         15.73         45.07          0.24          0.11
      23000         16.10         24.59         67.38          0.32          0.12


                       95x85N.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.05          0.10
       2000          0.10          0.00          0.08          0.05          0.10
       3000          0.23          0.01          0.18          0.05          0.10
       4000          0.41          0.02          0.33          0.05          0.10
       5000          0.64          0.04          0.51          0.05          0.10
       6000          0.92          0.07          0.74          0.05          0.10
       7000          1.25          0.11          1.00          0.05          0.10
       8000          1.63          0.16          1.24          0.05          0.10
       9000          2.06          0.22          1.51          0.05          0.10
      10000          2.54          0.28          1.79          0.05          0.10
      11000          3.06          0.36          2.08          0.04          0.10
      12000          3.69          0.63          3.29          0.06          0.10
      13000          4.42          1.09          5.30          0.08          0.10
      13999          5.22          1.73          7.79          0.10          0.10
      15000          6.09          2.59         10.87          0.12          0.10
      16000          7.05          3.71         14.62          0.15          0.11
      17000          8.10          5.19         19.24          0.17          0.11
      18000          9.25          7.13         24.97          0.20          0.11
      19000         10.56         10.25         34.00          0.24          0.11
      20000         12.20         16.54         52.13          0.33          0.12
      21000         13.91         22.33         67.02          0.39          0.12
      22000         15.00         21.33         61.12          0.32          0.12


                       95x8N.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.05          0.10
       2000          0.10          0.00          0.08          0.05          0.10
       3000          0.23          0.01          0.18          0.05          0.10
       4000          0.41          0.02          0.31          0.05          0.10
       5000          0.64          0.04          0.49          0.05          0.10
       6000          0.92          0.07          0.71          0.05          0.10
       7000          1.25          0.11          0.96          0.05          0.10
       8000          1.63          0.15          1.20          0.05          0.10
       9000          2.06          0.21          1.46          0.05          0.10
      10000          2.53          0.28          1.74          0.04          0.10
      11000          3.06          0.35          2.03          0.04          0.10
      12000          3.69          0.60          3.13          0.06          0.10
      13000          4.40          1.02          4.96          0.07          0.10
      13999          5.19          1.60          7.22          0.09          0.10
      15000          6.05          2.38         10.01          0.11          0.10
      16000          7.00          3.41         13.42          0.13          0.11
      17000          8.03          4.74         17.59          0.16          0.11
      18000          9.15          6.51         22.79          0.18          0.11
      19000         10.44          9.54         31.64          0.22          0.11
      20000         12.02         15.21         47.93          0.31          0.12
      21000         13.46         18.44         55.34          0.32          0.12
      23000         16.03         21.21         58.11          0.28          0.12
      24000         16.97         19.63         51.55          0.23          0.11


                       9625x375N.dat              

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.01          0.02          0.06
       2000          0.07          0.00          0.03          0.02          0.06
       3000          0.15          0.00          0.08          0.02          0.06
       4000          0.27          0.01          0.13          0.02          0.06
       5000          0.42          0.02          0.21          0.02          0.06
       6000          0.61          0.03          0.30          0.02          0.06
       7000          0.83          0.05          0.41          0.02          0.06
       8000          1.08          0.07          0.54          0.02          0.06
       9000          1.37          0.10          0.69          0.02          0.06
      10000          1.70          0.14          0.85          0.02          0.06
      11000          2.06          0.18          1.02          0.02          0.06
      12000          2.46          0.23          1.20          0.02          0.06
      13000          2.89          0.29          1.39          0.02          0.06
      13999          3.36          0.35          1.60          0.02          0.06
      15000          3.86          0.43          1.81          0.02          0.06
      16000          4.40          0.52          2.04          0.02          0.06
      17000          4.97          0.62          2.29          0.02          0.06
      18000          5.61          0.88          3.08          0.02          0.06


                       9x10.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.02          0.00          0.02          0.07          0.12
       2000          0.10          0.00          0.09          0.07          0.12
       3000          0.22          0.01          0.19          0.07          0.12
       4000          0.38          0.02          0.35          0.07          0.12
