 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       8000          2.39          0.22          1.70          0.05          0.12
       9000          3.06          0.37          2.59          0.06          0.12
      10000          3.82          0.59          3.72          0.07          0.12
      11000          4.68          0.90          5.13          0.08          0.12
      12000          5.63          1.31          6.88          0.09          0.12
      13000          6.68          1.87          9.06          0.11          0.12
      13999          7.83          2.60         11.72          0.12          0.13
      15000          9.10          3.57         14.98          0.13          0.13
      16000         10.31          4.14         16.29          0.13          0.13
      17000         11.60          4.68         17.37          0.12          0.13
      18000         12.99          5.44         19.04          0.12          0.13
      19000         14.56          7.68         25.47          0.14          0.13
      20000         16.00          7.95         25.06          0.12          0.13


                       10x6E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.03          0.05          0.11
       2000          0.14          0.00          0.10          0.05          0.11
       3000          0.32          0.01          0.22          0.05          0.11
       4000          0.58          0.03          0.40          0.05          0.11
       5000          0.90          0.05          0.62          0.05          0.11
       6000          1.30          0.08          0.88          0.05          0.11
       7000          1.77          0.13          1.17          0.05          0.11
       8000          2.32          0.19          1.50          0.05          0.11
       9000          2.94          0.27          1.89          0.05          0.11
      10000          3.67          0.44          2.76          0.05          0.12
      11000          4.49          0.67          3.84          0.06          0.12
      12000          5.41          0.99          5.18          0.07          0.12
      13000          6.42          1.41          6.86          0.08          0.12
      13999          7.53          1.98          8.89          0.09          0.12
      15000          8.73          2.71         11.40          0.10          0.12
      16000         10.05          3.68         14.50          0.11          0.12
      17000         11.49          4.95         18.37          0.13          0.12
      18000         13.03          6.57         23.00          0.14          0.13
      19000         14.68          9.97         33.07          0.18          0.13
      20000         16.11         10.65         33.56          0.17          0.13
      23000         20.57         12.85         35.22          0.13          0.12


                       10x6F.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.04          0.10
       2000          0.13          0.00          0.09          0.04          0.10
       3000          0.29          0.01          0.20          0.04          0.10
       4000          0.52          0.02          0.36          0.04          0.10
       5000          0.82          0.05          0.56          0.04          0.10
       6000          1.18          0.08          0.81          0.04          0.10
       7000          1.61          0.12          1.07          0.04          0.10
       8000          2.10          0.17          1.37          0.04          0.10
       9000          2.66          0.24          1.70          0.04          0.10
      10000          3.31          0.36          2.26          0.04          0.10
      11000          4.04          0.56          3.23          0.05          0.10
      12000          4.85          0.85          4.45          0.06          0.11
      13000          5.74          1.23          5.96          0.07          0.11
      13999          6.73          1.74          7.84          0.08          0.11
      15000          7.80          2.41         10.15          0.09          0.11
      16000          8.96          3.31         13.03          0.10          0.11
      17000         10.24          4.51         16.72          0.11          0.11
      18000         11.64          6.27         21.94          0.13          0.11
      19000         13.48         12.01         39.85          0.22          0.12
      20000         14.78         12.59         39.67          0.20          0.12
      21000         16.21         13.89         41.69          0.19          0.12
      23000         18.88         14.64         40.13          0.15          0.11
      24000         19.80         10.65         27.96          0.10          0.11


                       10x7-3.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.03          0.05          0.11
       2000          0.14          0.00          0.10          0.05          0.11
       3000          0.32          0.01          0.24          0.05          0.11
       4000          0.57          0.03          0.42          0.05          0.11
       5000          0.89          0.05          0.66          0.05          0.11
       6000          1.29          0.09          0.95          0.05          0.11
       7000          1.75          0.14          1.30          0.05          0.11
       8000          2.29          0.22          1.71          0.05          0.11
       9000          2.90          0.31          2.14          0.05          0.11
